Participant,Focused,EngagingTone,Excited,SpeakingRate,Calm,StructuredAnswers,Paused,NoFillers,Friendly
p1,5.84522637357,5.14790937729,5.04389015411,4.86558979541,5.35107543307,4.89158004615,5.80046790524,3.77166473066,5.25478355985
p3,5.54982872237,5.62123092399,5.60158567429,5.01628608696,4.47653726578,3.9121988684,4.79154954828,3.33245849049,6.50032877227
p4,5.3241358317,4.39273648876,4.26134323401,4.73800014854,5.06519019504,4.68837924196,5.17744701629,3.11144466161,5.36988386167
p5,6.32208591415,4.69552295169,4.70706218787,4.92718068841,6.13048798847,5.58251442294,5.88632626708,5.88174118567,5.64911869128
p6,5.61942047508,4.26198846721,4.64825935206,4.17489068485,5.8289772252,4.82624462496,5.02782250409,3.92032941437,4.49537499283
p7,6.19747572924,4.94138360782,4.88604973191,4.91447854325,6.00791295588,5.57242669885,6.04631607177,5.92916127869,5.50456862011
p8,5.8237382037,4.15706890643,4.23397310045,4.45332435259,5.66272840945,4.57497972608,5.50466433262,2.64427783107,4.99635315525
p10,5.26788560368,4.81910736874,4.38394688919,4.77536873711,4.44518500869,3.57596013125,5.61490949295,2.77818282683,5.74780274004
p11,5.71777581176,4.42675262945,4.29776047319,4.89546144859,5.0290858603,4.81446592015,5.81959031851,3.24042620255,4.4623063693
p12,5.46458442867,5.4523864256,5.32252595511,5.24607811749,5.20262948752,4.3189479661,5.40596577758,4.96411231054,6.36301290995
p13,5.75925215917,2.96796737501,3.57951004715,3.96199384358,5.46967945239,4.91606339181,5.84735266153,3.76952499607,4.12027395488
p14,5.82638569969,6.05344206945,5.20461943897,4.81782795291,5.93629021098,5.67303503772,6.37215246813,4.68969108759,6.31536811668
p15,5.16895392285,4.37898259772,4.53809348758,4.89546144859,4.8159409313,3.90089704833,5.44907410303,1.41211232111,5.17953168224
p16,6.14987631041,5.34030486026,6.04992879697,4.72690066827,5.63384831499,4.62732782069,5.72615532378,3.57175105762,6.26966089966
p17,5.6805073146,4.75222535527,4.32393689848,4.79674683377,4.37808369204,4.52388447566,5.94177581729,4.22103333385,6.08019342206
p20,5.10174563879,3.89482806741,4.00191503118,4.89209819381,5.3013559853,3.7256960304,5.73994436777,3.75525103394,4.80404635404
p21,5.06388733079,4.43856006215,4.57800636939,4.51327848284,4.00232978888,2.80873146245,5.49465257443,2.64383071631,5.37712385753
p22,5.8032252977,3.5620510515,3.93794896466,4.54481259933,5.41205700825,4.75560066436,5.59690180362,4.06072996124,4.36244591073
p24,6.08548008293,5.91414269143,6.01493975978,4.46527835631,5.78303818694,4.85459639205,6.15912983982,4.68477352611,6.56263386472
p25,5.51561952404,4.70942794447,5.04111863294,4.41765021419,5.00726356573,4.65014861926,5.64989437318,2.65871530818,5.26243597731
p27,5.93234809163,4.70730165651,4.34079775399,4.55276320665,5.55101970827,5.35963065424,5.37718610843,4.57779389026,4.63113259979
p29,5.68189723372,5.46070823045,4.50085225745,4.83298193427,6.30135305069,5.01152235113,6.25533122615,4.95869655031,5.27795855032
